Kompozice,Cena,Lokalita,Velikost,Velikost_s_jednotkou
2+kk,16347.0,"Lidická, Ostrava - Vítkovice",44,44 m²
1+kk,9000.0,"Krasnoarmejců, Ostrava - Zábřeh",22,22 m²
2+1,8500.0,"Gajdošova, Ostrava - Moravská Ostrava",53,53 m²
3+kk,16000.0,"Michálkovická, Ostrava - Slezská Ostrava",84,84 m²
3+1,16500.0,"Michálkovická, Ostrava - Slezská Ostrava",115,115 m²
3+1,15000.0,"Mojmírovců, Ostrava - Mariánské Hory",66,66 m²
2+kk,9500.0,"Mojmírovců, Ostrava - Mariánské Hory",48,48 m²
3+1,15000.0,"Bedrnova, Ostrava - Zábřeh",73,73 m²
2+1,16000.0,"Poštovní, Ostrava - Moravská Ostrava",69,69 m²
2+1,13000.0,"Mitušova, Ostrava - Hrabůvka",54,54 m²
2+kk,12000.0,Ostrava - Přívoz,43,43 m²
1+kk,9000.0,"Palackého, Ostrava - Přívoz",29,29 m²
5+1,14990.0,"28. října, Ostrava",125,125 m²
4+kk,39000.0,"náměstí Biskupa Bruna, Ostrava - Moravská Ostrava",109,109 m²
3+kk,32000.0,"Dlouhá, Ostrava - Moravská Ostrava",90,90 m²
1+1,8200.0,"Přemyslovců, Ostrava - Mariánské Hory",32,32 m²
2+1,12000.0,"Jana Ziky, Ostrava - Poruba",58,58 m²
2+1,11450.0,"Porubská, Ostrava - Poruba",55,55 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+1,10850.0,"Bohuslava Martinů, Ostrava - Poruba",54,54 m²
2+1,9950.0,"Havanská, Ostrava - Poruba",55,55 m²
2+1,10250.0,"Hlavní třída, Ostrava - Poruba",53,53 m²
2+1,11300.0,"Hlavní třída, Ostrava - Poruba",55,55 m²
2+1,11650.0,"náměstí Boženy Němcové, Ostrava - Poruba",67,67 m²
2+1,11200.0,"Gustava Klimenta, Ostrava - Poruba",58,58 m²
2+1,10100.0,"Porubská, Ostrava - Poruba",49,49 m²
2+kk,8950.0,"Zvoníčkova, Ostrava - Michálkovice",50,50 m²
2+1,10250.0,"Gajdošova, Ostrava - Moravská Ostrava",56,56 m²
1+1,8900.0,"Preslova, Ostrava - Moravská Ostrava",29,29 m²
1+1,9650.0,"Veverkova, Ostrava - Hrabůvka",39,39 m²
2+1,10850.0,"Přemyslovců, Ostrava - Mariánské Hory",59,59 m²
1+1,9550.0,"Dvořákova, Ostrava - Moravská Ostrava",38,38 m²
3+1,14750.0,"Na Bělidle, Ostrava - Moravská Ostrava",75,75 m²
2+kk,10050.0,"Štěpničkova, Ostrava - Michálkovice",48,48 m²
2+1,10800.0,"Čs. exilu, Ostrava - Poruba",55,55 m²
4+1,11550.0,"Komenského, Ostrava - Poruba",92,92 m²
3+1,13000.0,"náměstí Vítězslava Nováka, Ostrava - Poruba",76,76 m²
3+1,12600.0,"Opavská, Ostrava - Poruba",73,73 m²
2+kk,10250.0,"Výhradní, Ostrava - Kunčičky",47,47 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+1,10700.0,"Havanská, Ostrava - Poruba",54,54 m²
2+kk,9550.0,"Pavlouskova, Ostrava - Poruba",47,47 m²
2+1,11400.0,"Gregorova, Ostrava - Moravská Ostrava",66,66 m²
2+1,8350.0,"Zemanská, Ostrava - Muglinov",50,50 m²
1+1,8800.0,"Myslbekova, Ostrava - Moravská Ostrava",32,32 m²
2+kk,10250.0,"Sokolská třída, Ostrava - Moravská Ostrava",55,55 m²
3+1,12700.0,"17. listopadu, Ostrava - Poruba",79,79 m²
2+1,11600.0,"Hrušovská, Ostrava - Moravská Ostrava",90,90 m²
2+1,9900.0,"Na Jízdárně, Ostrava - Moravská Ostrava",53,53 m²
1+1,8900.0,"Čs. exilu, Ostrava - Poruba",36,36 m²
1+1,8600.0,"Preslova, Ostrava - Moravská Ostrava",27,27 m²
2+1,10000.0,"Asejevova, Ostrava - Zábřeh",48,48 m²
1+1,9650.0,"Matěje Kopeckého, Ostrava - Poruba",38,38 m²
2+kk,9000.0,"Dělnická, Ostrava - Poruba",38,38 m²
2+1,9950.0,"Zelená, Ostrava - Moravská Ostrava",48,48 m²
2+1,10250.0,"Zborovská, Ostrava - Moravská Ostrava",58,58 m²
3+kk,11900.0,"Hlavní třída, Ostrava - Poruba",54,54 m²
2+1,9850.0,"Havanská, Ostrava - Poruba",54,54 m²
1+kk,7000.0,"Francouzská, Ostrava - Poruba",23,23 m²
2+1,11400.0,"náměstí Jana Nerudy, Ostrava - Poruba",53,53 m²
2+1,10500.0,"Komenského, Ostrava - Poruba",56,56 m²
3+1,13500.0,"Petruškova, Ostrava - Zábřeh",65,65 m²
2+kk,9350.0,"Budovatelská, Ostrava - Poruba",41,41 m²
2+kk,9500.0,"Dělnická, Ostrava - Poruba",38,38 m²
2+1,11500.0,"Bohuslava Martinů, Ostrava - Poruba",54,54 m²
3+1,12350.0,"náměstí Jana Nerudy, Ostrava - Poruba",75,75 m²
3+kk,16000.0,"Porubská, Ostrava - Poruba",63,63 m²
2+1,11400.0,"Porubská, Ostrava - Poruba",58,58 m²
2+kk,13950.0,"Komenského, Ostrava - Poruba",45,45 m²
2+1,10700.0,"Havanská, Ostrava - Poruba",55,55 m²
3+1,13990.0,"Zborovská, Ostrava - Moravská Ostrava",85,85 m²
3+1,18000.0,Horní Lhota,73,73 m²
1+1,16500.0,"Vojanova, Ostrava - Moravská Ostrava",39,39 m²
1+kk,14500.0,"Vojanova, Ostrava - Moravská Ostrava",28,28 m²
2+kk,17000.0,"Vojanova, Ostrava - Moravská Ostrava",83,83 m²
3+1,13368.0,"Lechowiczova, Ostrava - Moravská Ostrava",70,70 m²
3+1,15000.0,"Vlčkova, Ostrava - Slezská Ostrava",122,122 m²
2+kk,18000.0,"Bajgarova, Ostrava - Krásné Pole",77,77 m²
2+1,13000.0,"Cihelní, Ostrava - Moravská Ostrava",57,57 m²
2+1,10700.0,"Svazácká, Ostrava - Zábřeh",51,51 m²
1+kk,7500.0,"Výškovická, Ostrava - Výškovice",28,28 m²
3+1,10500.0,"Čkalovova, Ostrava - Poruba",85,85 m²
2+1,11150.0,"Komenského, Ostrava - Poruba",56,56 m²
3+1,14823.0,"Jičínská, Ostrava - Výškovice",78,78 m²
1+1,7350.0,"Michálkovická, Ostrava - Slezská Ostrava",31,31 m²
4+1,10650.0,"Olešní, Ostrava - Muglinov",71,71 m²
1+1,7300.0,"Bořivojova, Ostrava - Kunčičky",49,49 m²
2+1,15000.0,"Frýdecká, Vratimov",61,61 m²
3+1,12000.0,"Hornická, Ostrava - Moravská Ostrava",71,71 m²
2+1,11150.0,"Francouzská, Ostrava - Poruba",52,52 m²
2+kk,11500.0,"Zárubecká, Ostrava - Slezská Ostrava",51,51 m²
1+1,9600.0,"Zárubecká, Ostrava - Slezská Ostrava",45,45 m²
2+1,10000.0,"Matěje Kopeckého, Ostrava - Poruba",54,54 m²
3+1,13850.0,"Petruškova, Ostrava - Zábřeh",66,66 m²
2+1,12850.0,"Jičínská, Ostrava - Výškovice",58,58 m²
3+1,13300.0,"Horní, Ostrava - Hrabůvka",76,76 m²
3+1,13250.0,"Alšova, Ostrava - Poruba",86,86 m²
3+kk,8900.0,"Pastrňákova, Ostrava - Radvanice",74,74 m²
3+kk,12750.0,"Nádražní, Ostrava - Moravská Ostrava",69,69 m²
1+1,13000.0,"Erbenova, Ostrava - Vítkovice",45,45 m²
2+1,10450.0,"Hlavní třída, Ostrava - Poruba",59,59 m²
2+1,11250.0,"Havlíčkovo náměstí, Ostrava - Poruba",64,64 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+kk,9500.0,"U Kříže, Ostrava - Michálkovice",54,54 m²
2+1,10250.0,"Hlavní třída, Ostrava - Poruba",69,69 m²
3+kk,27000.0,"F. X. Riepla, Ostrava",85,85 m²
1+1,6350.0,"Ráčkova, Ostrava - Radvanice",36,36 m²
2+1,12550.0,"Slámova, Ostrava - Michálkovice",63,63 m²
1+1,9200.0,"Svazácká, Ostrava - Zábřeh",30,30 m²
3+1,13050.0,"Plavecká, Ostrava - Hrabůvka",67,67 m²
3+1,13950.0,"17. listopadu, Ostrava - Poruba",79,79 m²
2+1,10800.0,"náměstí Jana Nerudy, Ostrava - Poruba",53,53 m²
1+1,9750.0,"Matěje Kopeckého, Ostrava - Poruba",38,38 m²
1+1,9100.0,"Čs. exilu, Ostrava - Poruba",36,36 m²
1+1,7650.0,"Pavlovova, Ostrava - Zábřeh",27,27 m²
2+1,10050.0,"Porubská, Ostrava - Poruba",47,47 m²
2+1,10900.0,"náměstí Jiřího Myrona, Ostrava - Moravská Ostrava",56,56 m²
2+1,10250.0,"Zelená, Ostrava - Mariánské Hory",56,56 m²
3+kk,12200.0,"Slámova, Ostrava - Michálkovice",66,66 m²
4+1,10650.0,"Olešní, Ostrava - Muglinov",69,69 m²
2+1,10950.0,"Havlíčkovo náměstí, Ostrava - Poruba",59,59 m²
2+kk,9500.0,"17. listopadu, Ostrava - Poruba",38,38 m²
2+1,9650.0,"Porubská, Ostrava - Poruba",48,48 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
3+1,12150.0,"náměstí Jana Nerudy, Ostrava - Poruba",76,76 m²
2+kk,10150.0,"Výhradní, Ostrava - Kunčičky",46,46 m²
2+1,15000.0,"Sokolská třída, Ostrava - Moravská Ostrava",52,52 m²
3+1,12300.0,"Bohuslava Martinů, Ostrava - Poruba",73,73 m²
2+1,10800.0,"Čs. exilu, Ostrava - Poruba",58,58 m²
3+1,19900.0,"Švédská, Ostrava - Muglinov",69,69 m²
2+kk,8900.0,"Alšova, Ostrava - Poruba",39,39 m²
1+kk,9000.0,"Lumírova, Ostrava - Výškovice",27,27 m²
2+1,16000.0,"Kašparova, Ostrava - Hrabůvka",60,60 m²
2+1,11350.0,"Francouzská, Ostrava - Poruba",53,53 m²
1+1,8500.0,"Alžírská, Ostrava - Poruba",28,28 m²
3+1,16000.0,"Karla Pokorného, Ostrava - Poruba",80,80 m²
2+kk,15000.0,"Chocholouškova, Ostrava - Moravská Ostrava",85,85 m²
2+1,8800.0,"Župní, Ostrava - Michálkovice",58,58 m²
2+1,9800.0,"Hlavní třída, Ostrava - Poruba",54,54 m²
2+1,10450.0,"Alšova, Ostrava - Poruba",58,58 m²
2+1,10800.0,"Gregorova, Ostrava - Moravská Ostrava",57,57 m²
2+kk,12973.0,"Lidická, Ostrava - Vítkovice",50,50 m²
3+1,11850.0,"17. listopadu, Ostrava - Poruba",74,74 m²
2+kk,9500.0,"Masarykovo náměstí, Ostrava - Moravská Ostrava",58,58 m²
2+1,9950.0,"Zelená, Ostrava - Moravská Ostrava",48,48 m²
2+1,14900.0,"Varenská, Ostrava - Moravská Ostrava",60,60 m²
2+1,11250.0,"U Jana, Ostrava - Petřkovice",62,62 m²
2+1,10250.0,"Tovární, Ostrava - Mariánské Hory",50,50 m²
2+1,10150.0,"Mojmírovců, Ostrava - Mariánské Hory",55,55 m²
2+1,11000.0,"Hlavní třída, Ostrava - Poruba",66,66 m²
2+1,10800.0,"Spojů, Ostrava - Poruba",62,62 m²
1+1,9500.0,"Školní, Ostrava - Poruba",37,37 m²
4+1,16900.0,"Hlavní třída, Ostrava - Poruba",134,134 m²
3+1,12250.0,"Krasnoarmejců, Ostrava - Zábřeh",68,68 m²
2+1,10750.0,"17. listopadu, Ostrava - Poruba",64,64 m²
2+1,10500.0,"Sokolská třída, Ostrava - Moravská Ostrava",57,57 m²
3+1,18000.0,"Verdunská, Ostrava - Moravská Ostrava",100,100 m²
1+1,9300.0,"Marty Krásové, Ostrava - Poruba",37,37 m²
1+kk,8900.0,"Čujkovova, Ostrava - Zábřeh",28,28 m²
4+1,13650.0,"Alšova, Ostrava - Poruba",84,84 m²
2+kk,11000.0,"U Sportoviště, Ostrava - Poruba",51,51 m²
3+1,13900.0,"Josefa Skupy, Ostrava - Poruba",68,68 m²
2+1,11050.0,"Dr. Malého, Ostrava - Moravská Ostrava",56,56 m²
2+1,12500.0,"Verdunská, Ostrava - Moravská Ostrava",77,77 m²
3+1,11750.0,"Zelená, Ostrava - Mariánské Hory",73,73 m²
3+1,11300.0,"Opavská, Ostrava - Poruba",98,98 m²
1+1,8750.0,"náměstí Jana Nerudy, Ostrava - Poruba",38,38 m²
2+1,10500.0,"Nálepkova, Ostrava - Poruba",59,59 m²
2+1,11150.0,"Hlavní třída, Ostrava - Poruba",79,79 m²
2+1,10650.0,"Čs. exilu, Ostrava - Poruba",57,57 m²
2+1,9650.0,"Na Jízdárně, Ostrava - Moravská Ostrava",50,50 m²
1+1,9650.0,"náměstí Vítězslava Nováka, Ostrava - Poruba",37,37 m²
1+1,9850.0,"Srbská, Ostrava - Výškovice",37,37 m²
2+1,11000.0,"Josefa Kotase, Ostrava - Hrabůvka",53,53 m²
3+1,12850.0,"Hlavní třída, Ostrava - Poruba",95,95 m²
3+1,12700.0,"Jilemnického náměstí, Ostrava - Poruba",70,70 m²
1+1,8800.0,"Podzámčí, Ostrava - Slezská Ostrava",30,30 m²
3+1,11837.0,"Aleše Hrdličky, Ostrava - Poruba",62,62 m²
3+1,12500.0,"Matěje Kopeckého, Ostrava - Poruba",80,80 m²
2+1,9950.0,"Porubská, Ostrava - Poruba",48,48 m²
2+1,10500.0,"Komenského, Ostrava - Poruba",56,56 m²
2+kk,10700.0,"Sokolská třída, Ostrava - Moravská Ostrava",52,52 m²
3+kk,20500.0,"Vítězná, Ostrava - Moravská Ostrava",60,60 m²
3+1,13600.0,"Výškovická, Ostrava - Výškovice",68,68 m²
3+1,11400.0,"17. listopadu, Ostrava - Poruba",74,74 m²
3+kk,14600.0,"Hlavní třída, Ostrava - Poruba",90,90 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
1+kk,6800.0,"Křišťanova, Ostrava - Přívoz",33,33 m²
3+1,14500.0,"Lechowiczova, Ostrava - Moravská Ostrava",66,66 m²
3+1,11950.0,"Přemyslovců, Ostrava - Mariánské Hory",77,77 m²
2+1,12500.0,"Bohumíra Četyny, Ostrava - Bělský Les",46,46 m²
1+1,7800.0,"Michálkovická, Ostrava - Slezská Ostrava",35,35 m²
3+1,14450.0,"Šeříková, Ostrava - Výškovice",71,71 m²
3+1,18000.0,"Marty Krásové, Ostrava - Poruba",75,75 m²
1+kk,,"Hasičská, Ostrava - Hrabůvka",33,33 m²
2+1,25000.0,"Vojanova, Ostrava - Moravská Ostrava",100,100 m²
2+kk,14000.0,"Fügnerova, Ostrava - Přívoz",60,60 m²
3+kk,16500.0,"Zámecká, Ostrava - Moravská Ostrava",72,72 m²
2+kk,10900.0,"Hlavní třída, Ostrava - Poruba",93,93 m²
1+1,8150.0,"Pavlovova, Ostrava - Zábřeh",27,27 m²
2+1,11000.0,"28. října, Ostrava - Moravská Ostrava",76,76 m²
2+1,10500.0,"Nádražní, Ostrava - Moravská Ostrava",54,54 m²
3+1,14000.0,"Kutuzovova, Ostrava - Vítkovice",88,88 m²
3+1,11450.0,"Gajdošova, Ostrava - Moravská Ostrava",69,69 m²
2+kk,8600.0,"Poděbradova, Ostrava - Moravská Ostrava",53,53 m²
2+1,10750.0,"Komenského, Ostrava - Poruba",56,56 m²
4+1,15000.0,"Sokolská třída, Ostrava - Moravská Ostrava",76,76 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
1+kk,12990.0,"náměstí Václava Vacka, Ostrava - Poruba",29,29 m²
4+1,16850.0,"Gregorova, Ostrava - Moravská Ostrava",100,100 m²
3+kk,22500.0,"Hasičská, Ostrava - Hrabůvka",75,75 m²
3+1,11300.0,"Opavská, Ostrava - Poruba",98,98 m²
2+kk,9000.0,"Výhradní, Ostrava - Kunčičky",46,46 m²
2+kk,16000.0,"Nádražní, Ostrava - Moravská Ostrava",46,46 m²
3+kk,30000.0,"Na Prádle, Ostrava - Moravská Ostrava",77,77 m²
2+1,10650.0,"Svazácká, Ostrava - Zábřeh",50,50 m²
2+1,10950.0,"Zborovská, Ostrava - Moravská Ostrava",56,56 m²
1+1,8800.0,"Svazácká, Ostrava - Zábřeh",33,33 m²
3+kk,19500.0,"Škroupova, Ostrava - Moravská Ostrava",125,125 m²
2+kk,18000.0,"Jantarová, Ostrava - Moravská Ostrava",59,59 m²
3+1,12000.0,"Jana Maluchy, Ostrava - Dubina",73,73 m²
3+1,11950.0,"Matěje Kopeckého, Ostrava - Poruba",75,75 m²
2+1,9950.0,"Alšovo náměstí, Ostrava - Poruba",57,57 m²
2+kk,10100.0,"Komenského, Ostrava - Poruba",57,57 m²
3+1,22000.0,"Na Jánské, Ostrava - Slezská Ostrava",116,116 m²
2+1,7550.0,"Olešní, Ostrava - Muglinov",50,50 m²
3+1,11550.0,"17. listopadu, Ostrava - Poruba",73,73 m²
2+1,8900.0,"Gajdošova, Ostrava - Moravská Ostrava",59,59 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
1+1,9800.0,"Aviatiků, Ostrava - Hrabůvka",39,39 m²
1+1,8750.0,"Havlíčkovo náměstí, Ostrava - Poruba",39,39 m²
1+kk,11250.0,"Plzeňská, Ostrava - Zábřeh",23,23 m²
2+kk,11500.0,"Pavlovova, Ostrava - Zábřeh",47,47 m²
1+1,7800.0,"Tavičská, Ostrava - Vítkovice",38,38 m²
2+1,14500.0,"U Prodejny, Ostrava - Hrabůvka",55,55 m²
1+kk,9990.0,"30. dubna, Ostrava - Moravská Ostrava",28,28 m²
1+1,6000.0,"Palackého, Ostrava - Přívoz",41,41 m²
2+1,9200.0,"Slavíčkova, Ostrava - Moravská Ostrava",65,65 m²
2+1,9500.0,"Hudební, Ostrava - Mariánské Hory",39,39 m²
3+1,10600.0,"Opavská, Ostrava - Poruba",74,74 m²
4+1,9300.0,"Olešní, Ostrava - Muglinov",70,70 m²
2+1,9700.0,"Krasnoarmejců, Ostrava - Zábřeh",51,51 m²
2+kk,9000.0,"Matěje Kopeckého, Ostrava - Poruba",42,42 m²
4+kk,18000.0,Ostrava - Polanka nad Odrou,110,110 m²
2+1,13500.0,"Františka Formana, Ostrava - Dubina",60,60 m²
2+kk,12900.0,"Porubská, Ostrava - Poruba",47,47 m²
3+kk,15200.0,"Veleslavínova, Ostrava - Moravská Ostrava",80,80 m²
2+kk,13000.0,"Mitušova, Ostrava - Hrabůvka",36,36 m²
3+1,11950.0,"nábřeží Svazu protifašistických bojovníků, Ostrava - Poruba",80,80 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
3+1,10950.0,"Hlavní třída, Ostrava - Poruba",74,74 m²
2+kk,11800.0,"Československé armády, Ostrava - Michálkovice",55,55 m²
4+kk,46000.0,"K Šalomounu, Ostrava - Moravská Ostrava",99,99 m²
3+1,9350.0,"Olešní, Ostrava - Muglinov",60,60 m²
2+kk,12500.0,"Senovážná, Ostrava - Moravská Ostrava",37,37 m²
1+kk,12500.0,"Pivovarská, Ostrava - Moravská Ostrava",30,30 m²
2+1,12900.0,"Zborovská, Ostrava - Moravská Ostrava",88,88 m²
3+1,15000.0,"Sokolská třída, Ostrava - Moravská Ostrava a Přívoz",100,100 m²
2+kk,13000.0,"Zárubecká, Ostrava - Slezská Ostrava",51,51 m²
2+1,8900.0,"Bohumínská, Ostrava - Slezská Ostrava",45,45 m²
3+1,27000.0,"Zámostní, Ostrava - Slezská Ostrava",100,100 m²
2+1,30000.0,"Gajdošova, Ostrava - Moravská Ostrava",60,60 m²
2+1,30000.0,"Gajdošova, Ostrava - Moravská Ostrava",60,60 m²
2+kk,26000.0,"Chalupníkova, Ostrava - Zábřeh",49,49 m²
2+1,13920.0,"Bohumínská, Ostrava - Slezská Ostrava",54,54 m²
1+1,9772.0,"Bohumínská, Ostrava - Slezská Ostrava",34,34 m²
3+kk,23000.0,"Biskupská, Ostrava - Moravská Ostrava",87,87 m²
2+1,8650.0,"Výstavní, Ostrava - Mariánské Hory",61,61 m²
3+1,10500.0,"Čkalovova, Ostrava - Poruba",85,85 m²
2+1,9350.0,"Hornických učňů, Ostrava - Moravská Ostrava",54,54 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
1+1,9200.0,"Plzeňská, Ostrava - Zábřeh",45,45 m²
2+kk,11000.0,"Opavská, Ostrava",48,48 m²
2+kk,9050.0,"Nadační, Ostrava - Kunčičky",45,45 m²
3+1,10900.0,"náměstí Vítězslava Nováka, Ostrava - Poruba",77,77 m²
4+kk,38000.0,"Jantarová, Ostrava - Moravská Ostrava",90,90 m²
3+kk,18000.0,"Kostelní, Ostrava - Moravská Ostrava",90,90 m²
2+1,12000.0,"U Mateřské školy, Vratimov",58,58 m²
2+1,12000.0,"Na Široké, Ostrava - Moravská Ostrava",58,58 m²
3+1,10250.0,"U Hájenky, Ostrava - Slezská Ostrava",63,63 m²
3+kk,15000.0,"Sokolská třída, Ostrava - Moravská Ostrava a Přívoz",100,100 m²
1+kk,8603.0,"Plzeňská, Ostrava",27,27 m²
1+1,6000.0,"Mariánskohorská, Ostrava - Moravská Ostrava",37,37 m²
2+1,13000.0,"Horymírova, Ostrava - Zábřeh",44,44 m²
3+kk,22500.0,"Hasičská, Ostrava - Hrabůvka",75,75 m²
3+1,22500.0,"28. října, Ostrava - Moravská Ostrava",132,132 m²
3+kk,30000.0,Ostrava - Moravská Ostrava,77,77 m²
1+1,9200.0,"Plzeňská, Ostrava",45,45 m²
3+1,18000.0,"Přívozská, Ostrava - Moravská Ostrava",90,90 m²
3+kk,27000.0,"Josefa Brabce, Ostrava - Moravská Ostrava",75,75 m²
2+1,9900.0,"Cihelní, Ostrava - Moravská Ostrava",65,65 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
1+kk,7200.0,"Plzeňská, Ostrava",22,22 m²
,5400.0,"Koblovská, Ostrava - Koblov",8,8 m²
2+kk,8509.0,"Hulvácká, Ostrava - Zábřeh",43,43 m²
